datetime;	t_gpu;t_cpu;t_nvme_comp;t_nvme_s1;	cpu0_freq;cpu1_freq;cpu2_freq;cpu3_freq;	core0_408;core0_600;core0_816;core0_1100;core0_1420;core0_1610;core0_1800;core1_408;core1_600;core1_816;core1_1100;core1_1420;core1_1610;core1_1800;core2_408;core2_600;core2_816;core2_1100;core2_1420;core2_1610;core2_1800;core3_408;core3_600;core3_816;core3_1100;core3_1420;core3_1610;core3_1800
2024-11-20 07:46:31;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.83;0.65;0.14;0.00;0.00;0.00;14.37;84.83;0.65;0.14;0.00;0.00;0.00;14.37;84.83;0.65;0.14;0.00;0.00;0.00;14.37;84.83;0.65;0.14;0.00;0.00;0.00;14.37
2024-11-20 07:46:37;	42.5;45.6;41.9;41.9;	600000;600000;600000;1800000;	84.83;0.65;0.14;0.00;0.00;0.00;14.38;84.83;0.65;0.14;0.00;0.00;0.00;14.38;84.83;0.65;0.14;0.00;0.00;0.00;14.38;84.83;0.65;0.14;0.00;0.00;0.00;14.38
2024-11-20 07:46:44;	42.5;45.6;41.9;41.9;	600000;600000;1800000;1800000;	84.83;0.65;0.14;0.00;0.00;0.00;14.38;84.83;0.65;0.14;0.00;0.00;0.00;14.38;84.83;0.65;0.14;0.00;0.00;0.00;14.38;84.83;0.65;0.14;0.00;0.00;0.00;14.38
2024-11-20 07:46:50;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38
2024-11-20 07:46:56;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38
2024-11-20 07:47:03;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38
2024-11-20 07:47:09;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38
2024-11-20 07:47:15;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38;84.82;0.65;0.14;0.00;0.00;0.00;14.38
2024-11-20 07:47:22;	42.5;45.0;41.9;41.9;	600000;600000;600000;600000;	84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39
2024-11-20 07:47:28;	42.5;45.6;41.9;41.9;	1800000;1800000;1800000;1800000;	84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39;84.82;0.65;0.14;0.00;0.00;0.00;14.39
